t,sensor_id,value
0.0,TC01,1100.8647897232524
0.0,TC02,1082.1958266421611
0.0,TC03,1231.4102510325467
0.0,TC04,1193.463624906709
0.0,TC05,1103.8163408462217
0.0,TC06,1176.1325160209785
0.0,TC07,1109.5581242765081
0.0,TC08,1222.3599870192622
0.0,TC09,1156.1977387001587
0.0,TC10,1172.9279011302897
0.0,TC11,1226.2087112401375
0.0,TC12,1294.0713226062262
0.0,TC13,1221.6210299943934
0.0,TC14,1306.0988689691633
0.0,TC15,1240.703714678651
0.0,TC16,1237.9007493190188
0.0,TC17,856.5367678871181
0.0,TC18,894.0102148150272
0.0,TC19,1061.820716011101
0.0,TC20,971.9376239079302
1.0,TC01,1101.421440722225
1.0,TC02,1085.495821495781
1.0,TC03,1232.472277054913
1.0,TC04,1194.8105733863333
1.0,TC05,1104.2967444517305
1.0,TC06,1176.89760822457
1.0,TC07,1111.6499746593531
1.0,TC08,1218.9367793865033
1.0,TC09,1155.9080153594161
1.0,TC10,1172.7126207180281
1.0,TC11,1223.5828566271116
1.0,TC12,1293.925400608328
1.0,TC13,1222.4948480288813
1.0,TC14,1309.1885555397137
1.0,TC15,1239.9052649045016
1.0,TC16,1236.9573216671613
1.0,TC17,857.5157758733088
1.0,TC18,892.4223157897834
1.0,TC19,1062.4278718753565
1.0,TC20,972.398597728092
2.0,TC01,1101.8598235578734
2.0,TC02,1083.1167058326648
2.0,TC03,1233.6843957983554
2.0,TC04,1194.9480831923438
2.0,TC05,1101.7039284766856
2.0,TC06,1176.2507178006863
2.0,TC07,1110.1211369392643
2.0,TC08,1220.103366093418
2.0,TC09,1160.337951763087
2.0,TC10,1174.4180686207785
2.0,TC11,1224.5944716671445
2.0,TC12,1295.1494055781857
2.0,TC13,1225.4520533816262
2.0,TC14,1307.6200479180584
2.0,TC15,1240.849938636989
2.0,TC16,1236.4588598173725
2.0,TC17,856.3260606283555
2.0,TC18,894.9284683518189
2.0,TC19,1065.0015258509352
2.0,TC20,974.4482739357023
3.0,TC01,1102.5494126509727
3.0,TC02,1080.8033628447697
3.0,TC03,1231.4385470097286
3.0,TC04,1195.372931769752
3.0,TC05,1102.5323113907325
3.0,TC06,1177.1081772773791
3.0,TC07,1110.5295003432
3.0,TC08,1221.2036874980538
3.0,TC09,1156.416939060683
3.0,TC10,1171.5827797330132
3.0,TC11,1226.5284963158122
3.0,TC12,1292.2496964733964
3.0,TC13,1222.8172128534434
3.0,TC14,1307.3719897644928
3.0,TC15,1241.4464817098003
3.0,TC16,1236.0272656786037
3.0,TC17,858.2135643324496
3.0,TC18,896.1468759655706
3.0,TC19,1065.900104572703
3.0,TC20,973.1869536038649
4.0,TC01,1102.5263060449145
4.0,TC02,1088.0153404497962
4.0,TC03,1234.6219276673087
4.0,TC04,1195.7750915117028
4.0,TC05,1101.853794471835
4.0,TC06,1175.81890017377
4.0,TC07,1113.4320190416927
4.0,TC08,1218.6526708687431
4.0,TC09,1157.1293419446242
4.0,TC10,1175.6385877616078
4.0,TC11,1225.28837859288
4.0,TC12,1295.2904281632577
4.0,TC13,1224.3502702006488
4.0,TC14,1306.3077276333174
4.0,TC15,1238.4657720313635
4.0,TC16,1238.1767644450936
4.0,TC17,855.5484476191328
4.0,TC18,894.5447100422824
4.0,TC19,1066.033063724974
4.0,TC20,973.8650877444255
5.0,TC01,1101.1859525620798
5.0,TC02,1081.4053118872353
5.0,TC03,1231.4481750977454
5.0,TC04,1196.3256451196387
5.0,TC05,1106.3436822482734
5.0,TC06,1177.8617915374004
5.0,TC07,1112.0029579610514
5.0,TC08,1220.5352023152595
5.0,TC09,1158.6552506113692
5.0,TC10,1175.319504953995
5.0,TC11,1221.6564265197692
5.0,TC12,1292.8902755770687
5.0,TC13,1226.8722452276686
5.0,TC14,1305.2867402812067
5.0,TC15,1243.8127803714417
5.0,TC16,1235.9016544113194
5.0,TC17,855.4140800313506
5.0,TC18,895.5617261824203
